tahun,bulan,curah hujan,tekanan udara,kecepatan angin,suhu,hari hujan
2002,1,219,920.6,5,22.7,27
2002,2,563.8,922.8,6,22.9,22
2002,3,344.1,921.8,4,23.5,25
2002,4,183.1,921.4,4,23.7,20
2002,5,55,922.1,4,23.9,9
2002,6,54.1,922.2,4,23.4,10
2002,7,121.8,923,5,23.2,13
2002,8,37.9,922.8,5,22.9,4
2002,9,10.3,923.6,5,23.7,1
2002,10,20.6,922.7,7,24.9,4
2002,11,196.2,922.1,4,24.3,17
2002,12,457.7,922.7,5,23.6,24
2003,1,19.7,922.5,5,23.9,23
2003,2,20.3,921.7,3,23.3,26
2003,3,19.5,922.2,4,23.4,22
2003,4,19.6,921.9,3,24.1,21
2003,5,19.4,921.9,6,24.2,21
2003,6,17.3,922.3,4,23.5,8
2003,7,16.7,922.8,4,22.9,11
2003,8,17.7,922.5,4,23.4,1
2003,9,17.9,923,5,23.6,12
2003,10,18.8,922.6,5,23.7,7
2003,11,19.7,922,6,23.7,16
2003,12,19.4,922.1,5,23.7,25
2004,1,195.6,921.8,5,23.8,23
2004,2,191.2,922,6,23.1,26
2004,3,240.8,921.6,6,23.8,25
2004,4,304.8,922.1,4,23.9,24
2004,5,286.5,921.9,3,24.6,15
2004,6,76.2,923.2,3,22.3,20
2004,7,34.4,922.3,3,22.9,14
2004,8,11.4,923,2,23.1,10
2004,9,84.7,922.6,5,23.5,17
2004,10,83.5,923.2,7,24.5,18
2004,11,184.4,922,4,23.9,20
2004,12,238.9,921.6,4,23,28
2005,1,168.2,922.1,6,23.3,29
2005,2,416.7,922.9,6,23.1,22
2005,3,307.7,922.8,4,23.6,19
2005,4,166.9,922.7,4,23.7,23
2005,5,190.6,921.9,3,23.8,18
2005,6,201.6,921.6,4,23.4,8
2005,7,76.3,922.5,4,22.8,9
2005,8,64.2,922.6,4,23.4,0
2005,9,145.3,922.8,3,23.6,3
2005,10,114.9,922.3,4,23.5,11
2005,11,225.8,921.8,4,23.4,13
2005,12,204.7,920.7,4,23.3,30
2006,1,299.9,921.2,6,23.1,16
2006,2,282.3,921.5,6,23.5,24
2006,3,53.4,921.1,5,23.9,26
2006,4,232.6,921.2,5,23.5,29
2006,5,89.5,922.4,4,23.3,15
2006,6,32.2,922.6,5,22.7,14
2006,7,45,923.3,5,23,5
2006,8,31,923.1,5,22.6,0
2006,9,0.3,923.4,6,23.6,8
2006,10,57.1,923.9,6,24.4,16
2006,11,109.3,922.4,4,24.8,22
2006,12,499.8,921.8,2,23.2,31
2007,1,127.5,922.5,4,24.1,20
2007,2,405.7,922.6,2,22.8,26
2007,3,105.4,921.3,4,23.4,25
2007,4,462,922.2,3,22.9,23
2007,5,88.6,922.5,3,23.6,16
